Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,USG_GROUP,USG_CODE,USG_PRIORI
112,613088,1,1,364.0616,841,613088,13370307.32,0,0,0,0,841,112,220720.4776,632523.2086,1,0,0,0
113,613091,1,1,232.033,857,613091,4228871.216,0,0,0,0,857,113,220103.5998,632064.9104,4,0,0,0
114,613126,1,1,109.41,826,613126,3725060.474,0,0,0,0,826,114,220631.3869,632967.3159,4,0,0,0
115,613147,1,1,353.0414,851,613147,15709353.51,0,0,0,0,851,115,220217.2048,632108.2838,3,0,0,0
116,613160,1,1,762.2124,834,613160,28172894.73,0,0,0,0,834,116,220232.9575,632998.7746,5,0,0,0
117,613172,1,1,399.63805,841,613172,14676866.62,0,0,0,0,841,117,220767.9448,632486.2164,4,0,0,0
118,613174,1,1,303.7359,832,613174,22284981.96,0,0,0,0,832,118,219858.5687,632925.0266,2,0,0,0
119,613200,1,1,76.635,833,613200,1443864.768,0,0,0,0,833,119,220290.8283,632672.3801,1,0,0,0
120,613455,1,1,90.105,854,613455,3544586.391,0,0,0,0,854,120,219941.2048,632368.5948,2,0,0,0
121,613473,1,1,143.9054,836,613473,4679170.368,0,0,0,0,836,121,220336.3608,632763.7761,4,0,0,0
122,613672,1,1,1168.1188,855,613672,22214231.57,0,0,0,0,855,122,220108.3865,632208.8025,3,0,0,0
123,613763,1,1,718.75085,914,613763,38555737.06,0,0,0,0,914,123,219614.2998,633010.8249,5,0,0,0
124,613781,1,1,197.14365,851,613781,8772340.269,0,0,0,0,851,124,220195.7998,632095.6429,5,0,0,0
125,613823,1,1,136.86,836,613823,2225042.481,0,0,0,0,836,125,220546.2048,632517.4648,2,0,0,0
126,613835,1,1,732.12705,852,613835,12219200.46,0,0,0,0,852,126,220288.3715,632226.8155,2,0,0,0
127,613864,1,1,632.18995,855,613864,12022419.25,0,0,0,0,855,127,220046.1448,632402.1448,3,0,0,0
128,613886,1,1,167.775,825,613886,1935167.15,0,0,0,0,825,128,220752.9654,632912.9791,4,0,0,0
129,613904,4,1,895.01035,834,613904,0,1837971.867,1236458.244,2283185.882,2155194.045,834,129,220209.9548,632912.2136,1,0,0,0
130,613976,1,1,93.89565,841,613976,1724177.579,0,0,0,0,841,130,220743.7914,632559.5194,0,0,0,0
131,613977,1,1,133.4649,854,613977,2625147.707,0,0,0,0,854,131,220018.7048,632432.9706,5,0,0,0
132,613979,1,1,409.0589,836,613979,6650397.705,0,0,0,0,836,132,220459.5826,632658.0369,2,0,0,0
133,614070,1,1,799.93895,855,614070,15212518.69,0,0,0,0,855,133,220050.9375,632371.9482,2,0,0,0
134,614094,1,1,546.8869,833,614094,20607574.27,0,0,0,0,833,134,219974.7498,632743.1541,1,0,0,0
135,614112,1,1,382.1016,836,614112,12424262.64,0,0,0,0,836,135,220649.3295,632511.9429,2,0,0,0
136,614380,1,1,291.6835,836,614380,9484263.899,0,0,0,0,836,136,220695.0762,632676.3494,0,0,0,0
137,614646,1,1,93.92785,834,614646,3471761.192,0,0,0,0,834,137,220142.6638,632769.1787,2,0,0,0
138,614650,1,1,92.77815,834,614650,3429265.98,0,0,0,0,834,138,220143.41,632863.2987,3,0,0,0
139,614885,1,1,765.1026,856,614885,15013073.35,0,0,0,0,856,139,219883.3998,632156.6081,5,0,0,0
140,614992,1,1,348.7155,836,614992,17008040.36,0,0,0,0,836,140,220422.2723,632524.2101,2,0,0,0
141,615049,1,1,902.9409,855,615049,17171317.04,0,0,0,0,855,141,220117.7573,632237.1972,2,0,0,0
142,615073,1,1,823.2717,852,615073,13740404.67,0,0,0,0,852,142,220292.4758,632270.9622,2,0,0,0
143,615131,1,1,280.7304,855,615131,10677355.96,0,0,0,0,855,143,220130.7081,632108.9611,1,0,0,0
144,615173,1,1,229.629,853,615173,11714523.43,0,0,0,0,853,144,219891.5976,632597.2978,2,0,0,0
145,615433,1,1,85.23315,834,615433,3150387.69,0,0,0,0,834,145,220154.4563,632817.3298,4,0,0,0
146,615456,1,1,224.0592,834,615456,8281676.15,0,0,0,0,834,146,220069.5075,632795.4993,5,0,0,0
147,615564,1,1,1375.8841,836,615564,67106544.76,0,0,0,0,836,147,220729.6027,632618.3105,3,0,0,0
148,615892,1,1,281.677,854,615892,11080722.06,0,0,0,0,854,148,219887.5873,632331.0374,0,0,0,0
149,615917,1,1,259.97615,836,615917,8453280.402,0,0,0,0,836,149,220390.351,632646.3993,0,0,0,0
150,616958,1,1,250.18015,853,616958,8508626.901,0,0,0,0,853,150,220188.7173,632495.8479,1,0,0,0
151,616985,1,1,168.5737,832,616985,9276138.901,0,0,0,0,832,151,219778.4232,632978.5621,1,0,0,0
152,616988,1,1,139.875,835,616988,4494603.375,0,0,0,0,835,152,220409.5498,632792.4048,5,0,0,0
153,616997,1,1,167.905,833,616997,3163464.655,0,0,0,0,833,153,220081.0998,632730.8448,5,0,0,0
154,617001,1,1,140.20505,835,617001,4505208.872,0,0,0,0,835,154,220404.9532,632840.5446,3,0,0,0
155,617016,3,1,20.35,1021,617016,0,41790.27371,28113.55788,51913.17921,49003.00742,1021,155,219686.3994,632378.4826,1,0,0,0
156,617034,1,1,692.9122,852,617034,23129409.24,0,0,0,0,852,156,220312.6615,632229.7971,2,0,0,0
157,617037,1,1,122.2221,834,617037,2258786.63,0,0,0,0,834,157,220283.2026,632889.3093,3,0,0,0
158,617054,1,1,612.4721,833,617054,11539464.82,0,0,0,0,833,158,219882.6468,632756.4606,2,0,0,0
159,617060,1,1,230.8918,854,617060,4541456.811,0,0,0,0,854,159,219915.7675,632379.0004,4,0,0,0
160,617079,1,1,541.0015,853,617079,27599191.52,0,0,0,0,853,160,220151.1089,632421.1685,3,0,0,0
161,617086,1,1,133.49505,856,617086,5238960.047,0,0,0,0,856,161,219966.4465,632137.7142,3,0,0,0
162,617093,1,1,140.627,845,617093,2971012.621,0,0,0,0,845,162,220720.0002,632168.603,0,0,0,0
163,617107,1,1,173.6287,832,617107,3184767.135,0,0,0,0,832,163,219689.2731,632927.2431,4,0,0,0
164,617128,1,1,103.13305,835,617128,3313974.295,0,0,0,0,835,164,220549.4547,632801.1735,5,0,0,0
165,617130,1,1,591.8576,835,617130,9509080.13,0,0,0,0,835,165,220503.0356,632896.2587,3,0,0,0
166,617151,1,1,82.98105,833,617151,1563429.431,0,0,0,0,833,166,220161.7881,632713.4524,4,0,0,0
167,617164,1,1,376.81,832,617164,41469599.35,0,0,0,0,832,167,219651.7826,632861.904,5,0,0,0
168,617166,1,1,116.1109,836,617166,1887707.767,0,0,0,0,836,168,220353.8048,632604.4698,1,0,0,0
169,617197,1,1,861.5335,853,617197,14650377.17,0,0,0,0,853,169,220634.0327,632276.7815,0,0,0,0
170,617222,1,1,126.64495,836,617222,2058968.243,0,0,0,0,836,170,220493.43,632699.3617,1,0,0,0
171,617229,3,1,68.4191,833,617229,0,140503.8288,94521.09717,174538.2309,164753.8902,833,171,220259.6469,632601.9994,5,0,0,0
172,617267,1,1,241.04,835,617267,7745338.32,0,0,0,0,835,172,220546.2948,632829.9648,3,0,0,0
173,617309,1,1,391.93745,833,617309,14768830.83,0,0,0,0,833,173,220033.1223,632706.9313,3,0,0,0
174,617325,1,1,171.90365,853,617325,2923221.568,0,0,0,0,853,174,220596.8613,632309.355,3,0,0,0
175,617354,1,1,204.0482,836,617354,3317374.786,0,0,0,0,836,175,220355.4298,632625.9133,5,0,0,0
176,617386,1,1,176.853,836,617386,5750481.338,0,0,0,0,836,176,220403.0061,632698.0455,4,0,0,0
177,617411,1,1,745.603985,832,617411,82057001,0,0,0,0,832,177,219678.9775,632976.3751,1,0,0,0
178,617417,1,1,81.0168,836,617417,1317154.915,0,0,0,0,836,178,220325.4212,632703.5827,5,0,0,0
179,617599,1,1,406.91,834,617599,15040207.42,0,0,0,0,834,179,220160.8067,632915.9375,5,0,0,0
180,617654,1,1,245.8304,851,617654,10938764.28,0,0,0,0,851,180,220363.7763,632081.0713,0,0,0,0
181,617657,1,1,722.16895,852,617657,12052999.78,0,0,0,0,852,181,220400.1139,632191.9287,1,0,0,0
182,617686,1,1,166.40935,856,617686,6530668.637,0,0,0,0,856,182,219942.8959,632110.1528,2,0,0,0
183,617746,1,1,286.45985,836,617746,9314413.787,0,0,0,0,836,183,220400.1569,632679.0939,0,0,0,0
184,617856,1,1,133.88205,834,617856,2474274.166,0,0,0,0,834,184,220145.8549,632816.0876,5,0,0,0
185,617863,1,1,476.4252,833,617863,17952464.56,0,0,0,0,833,185,220235.8486,632686.2208,3,0,0,0
186,617864,1,1,254.54635,836,617864,4138363.599,0,0,0,0,836,186,220671.143,632692.145,3,0,0,0
187,617875,1,1,92.3654,834,617875,1707004.958,0,0,0,0,834,187,220127.7542,632771.9518,5,0,0,0
188,617893,1,1,220.3601,845,617893,4655525.883,0,0,0,0,845,188,220787.6948,632173.6898,0,0,0,0
189,617973,1,1,327.3433,841,617973,12021813.12,0,0,0,0,841,189,220656.2797,632422.25,2,0,0,0
190,618014,1,1,95.1816,834,618014,3518102.299,0,0,0,0,834,190,220089.21,632899.2238,2,0,0,0
191,618085,1,1,290.0999,836,618085,9432772.195,0,0,0,0,836,191,220637.1696,632491.3945,3,0,0,0
192,618088,1,1,191.328,834,618088,7071865.536,0,0,0,0,834,192,220115.8978,632869.1841,4,0,0,0
193,618117,1,1,124.02245,856,618117,4867211.635,0,0,0,0,856,193,219896.8979,632089.6001,4,0,0,0
194,618162,3,1,46.942,852,618162,0,96398.96946,64850.44884,119749.8014,113036.8145,852,194,220329.8498,632221.9998,2,0,0,0
195,618184,3,1,80.045,853,618184,0,164378.4992,110582.2968,204196.0899,192749.1759,853,195,220329.5228,632485.0509,4,0,0,0
196,618192,1,1,352.7071,854,618192,6937466.216,0,0,0,0,854,196,219928.5066,632255.3561,5,0,0,0
197,618459,1,1,152.44455,836,618459,4956825.95,0,0,0,0,836,197,220785.1994,632621.637,0,0,0,0
198,618569,1,1,117.34,834,618569,4337121.08,0,0,0,0,834,198,220079.2498,632964.6548,4,0,0,0
199,618625,3,1,79.155,841,618625,0,162550.8165,109352.7604,201925.6855,190606.0468,841,199,220580.551,632406.7894,0,0,0,0
200,618629,1,1,289.8982,854,618629,5702065.449,0,0,0,0,854,200,220002.6633,632440.0572,5,0,0,0
201,618680,1,1,205.9466,832,618680,7555109.993,0,0,0,0,832,201,219705.9548,632918.7448,2,0,0,0
202,618701,1,1,155.22885,835,618701,2493984.319,0,0,0,0,835,202,220708.3396,632828.3662,5,0,0,0
203,618703,1,1,338.06065,836,618703,5496122.369,0,0,0,0,836,203,220507.9018,632722.3907,2,0,0,0
204,618707,1,1,214.0656,835,618707,6878569.924,0,0,0,0,835,204,220637.9336,632731.8166,5,0,0,0
205,618725,1,1,141.7652,832,618725,5200628.12,0,0,0,0,832,205,219761.3219,632899.0104,4,0,0,0
206,618747,1,1,263.02805,836,618747,8552514.76,0,0,0,0,836,206,220383.9091,632622.1425,4,0,0,0
207,618779,3,1,37.42895,841,618779,0,76863.1973,51708.15489,95481.85696,90129.2931,841,207,220777.4606,632339.1605,2,0,0,0
208,618801,1,1,105.7215,832,618801,1939186.083,0,0,0,0,832,208,219968.2473,632904.5687,1,0,0,0
209,618810,1,1,162.2529,835,618810,2606836.218,0,0,0,0,835,209,220573.478,632778.0076,2,0,0,0
210,618814,1,1,181.288,833,618814,6831222.184,0,0,0,0,833,210,220141.1498,632676.8448,2,0,0,0
211,618818,1,1,117.55135,836,618818,1911126.315,0,0,0,0,836,211,220520.3241,632583.8975,4,0,0,0
212,618820,1,1,316.6167,833,618820,5965312.168,0,0,0,0,833,212,219957.7648,632695.8147,0,0,0,0
213,618996,1,1,211.8947,834,618996,7832051.901,0,0,0,0,834,213,220278.0031,632829.38,3,0,0,0
214,619005,1,1,244.8572,854,619005,9632290.094,0,0,0,0,854,214,219952.1598,632305.5694,4,0,0,0
215,619011,1,1,119.5938,834,619011,4420426.036,0,0,0,0,834,215,220169.2561,632838.6082,5,0,0,0
216,619164,1,1,307.4963,832,619164,11280440.51,0,0,0,0,832,216,219781.4548,632906.8448,2,0,0,0
217,619165,1,1,184.254,834,619165,3405198.174,0,0,0,0,834,217,220224.7498,632960.9998,1,0,0,0
218,619168,1,1,245.3538,836,619168,7977825.923,0,0,0,0,836,218,220582.5264,632590.1127,0,0,0,0
219,619180,1,1,333.5673,836,619180,16269211.15,0,0,0,0,836,219,220417.1447,632555.9038,1,0,0,0
220,619257,1,1,200.2263,841,619257,3676695.322,0,0,0,0,841,220,220720.5847,632391.2558,4,0,0,0
221,619386,1,1,1255.13255,855,619386,23868980.73,0,0,0,0,855,221,220079.3807,632286.973,3,0,0,0
222,619416,1,1,181.6249,856,619416,7127796.834,0,0,0,0,856,222,220003.5762,632114.5005,5,0,0,0
223,619423,1,1,94.4268,855,619423,1795723.861,0,0,0,0,855,223,220215.7498,632159.7498,1,0,0,0
224,619437,1,1,209.50135,833,619437,3947173.199,0,0,0,0,833,224,220031.2447,632663.4578,0,0,0,0
225,619445,1,1,117.738,841,619445,4323974.961,0,0,0,0,841,225,220703.8013,632369.5958,2,0,0,0
226,619539,4,1,50.5525,834,619539,0,103813.406,69838.36042,128960.2453,121730.9353,834,226,220239.2465,632852.6414,1,0,0,0
227,619548,1,1,201.962,836,619548,3283457.764,0,0,0,0,836,227,220537.0072,632648.0468,4,0,0,0
228,619553,1,1,325.0667,835,619553,5222684.137,0,0,0,0,835,228,220479.3108,632778.7494,1,0,0,0
229,619602,4,1,932.0665,834,619602,0,1914069.491,1287651.376,2377716.72,2244425.632,834,229,220224.7173,632860.6243,5,0,0,0
230,619623,1,1,171.34895,835,619623,5505955.811,0,0,0,0,835,230,220401.2303,632864.5394,0,0,0,0
231,619627,1,1,323.12565,854,619627,12711245.56,0,0,0,0,854,231,219888.2015,632441.1542,3,0,0,0
232,619640,1,1,105.0368,836,619640,3415334.533,0,0,0,0,836,232,220629.0097,632617.7786,4,0,0,0
233,619648,1,1,235.5796,832,619648,8642190.694,0,0,0,0,832,233,219936.2426,632810.1254,2,0,0,0
234,619668,1,1,377.4075,834,619668,20924604.02,0,0,0,0,834,234,220324.8343,632868.6335,0,0,0,0
235,619720,1,1,235.7333,836,619720,3832504.799,0,0,0,0,836,235,220697.9271,632499.7899,2,0,0,0
236,619736,1,1,524.5593,834,619736,19388760.85,0,0,0,0,834,236,220319.5954,632910.263,0,0,0,0
237,619742,1,1,73.21015,836,619742,2380471.925,0,0,0,0,836,237,220389.6109,632740.9306,1,0,0,0
238,620461,1,1,115.2768,854,620461,2267402.345,0,0,0,0,854,238,219962.9998,632437.0598,4,0,0,0
